date,time,open,high,low,close,volume
2022.12.07,17:45,1.05065,1.05112,1.04965,1.05040,3201
2022.12.07,18:00,1.05041,1.05105,1.04975,1.04976,2208
2022.12.07,18:15,1.04978,1.04982,1.04898,1.04909,1550
2022.12.07,18:30,1.04910,1.05025,1.04882,1.04952,1569
2022.12.07,18:45,1.04953,1.05076,1.04941,1.05038,1366
2022.12.07,19:00,1.05039,1.05088,1.04988,1.05010,1488
2022.12.07,19:15,1.05011,1.05219,1.05011,1.05156,1465
2022.12.07,19:30,1.05157,1.05190,1.05082,1.05121,1216
2022.12.07,19:45,1.05121,1.05187,1.05104,1.05181,879
2022.12.07,20:00,1.05181,1.05257,1.05166,1.05246,904
2022.12.07,20:15,1.05247,1.05286,1.05174,1.05184,1050
2022.12.07,20:30,1.05181,1.05211,1.05163,1.05171,953
2022.12.07,20:45,1.05172,1.05185,1.05103,1.05106,714
2022.12.07,21:00,1.05105,1.05158,1.05063,1.05158,688
2022.12.07,21:15,1.05160,1.05200,1.05151,1.05176,728
2022.12.07,21:30,1.05175,1.05195,1.05148,1.05183,908
2022.12.07,21:45,1.05184,1.05188,1.05106,1.05143,863
2022.12.07,22:00,1.05142,1.05161,1.05108,1.05137,720
2022.12.07,22:15,1.05136,1.05168,1.05027,1.05072,876
2022.12.07,22:30,1.05071,1.05104,1.05054,1.05087,628
2022.12.07,22:45,1.05086,1.05130,1.05071,1.05099,704
2022.12.07,23:00,1.05098,1.05124,1.05093,1.05105,245
2022.12.07,23:15,1.05106,1.05117,1.05063,1.05110,291
2022.12.07,23:30,1.05110,1.05112,1.05041,1.05076,437
2022.12.07,23:45,1.05075,1.05076,1.05050,1.05060,133
2022.12.08,00:00,1.05058,1.05060,1.05050,1.05052,60
2022.12.08,00:15,1.05052,1.05080,1.05052,1.05079,82
2022.12.08,00:30,1.05079,1.05112,1.05051,1.05069,1493
2022.12.08,00:45,1.05069,1.05078,1.05063,1.05072,736
2022.12.08,01:00,1.05071,1.05129,1.05071,1.05129,342
2022.12.08,01:15,1.05130,1.05134,1.05111,1.05131,414
2022.12.08,01:30,1.05130,1.05144,1.05121,1.05130,279
2022.12.08,01:45,1.05130,1.05148,1.05118,1.05118,264
2022.12.08,02:00,1.05119,1.05148,1.05089,1.05111,556
2022.12.08,02:15,1.05112,1.05117,1.05070,1.05073,465
2022.12.08,02:30,1.05072,1.05081,1.05051,1.05077,293
2022.12.08,02:45,1.05078,1.05078,1.05017,1.05021,443
2022.12.08,03:00,1.05020,1.05040,1.04983,1.05000,938
2022.12.08,03:15,1.05002,1.05045,1.04948,1.05003,1122
2022.12.08,03:30,1.05002,1.05024,1.04987,1.04996,691
2022.12.08,03:45,1.04997,1.05027,1.04990,1.05019,477
2022.12.08,04:00,1.05017,1.05066,1.04995,1.05048,669
2022.12.08,04:15,1.05049,1.05067,1.05023,1.05034,549
2022.12.08,04:30,1.05034,1.05073,1.05013,1.05031,547
2022.12.08,04:45,1.05032,1.05066,1.04948,1.04957,720
2022.12.08,05:00,1.04959,1.05025,1.04945,1.05019,878
2022.12.08,05:15,1.05020,1.05041,1.05007,1.05016,548
2022.12.08,05:30,1.05015,1.05041,1.05009,1.05030,584
2022.12.08,05:45,1.05031,1.05047,1.04993,1.05039,542
2022.12.08,06:00,1.05039,1.05044,1.04965,1.04978,519
2022.12.08,06:15,1.04978,1.04986,1.04947,1.04965,666
2022.12.08,06:30,1.04964,1.05016,1.04951,1.05010,600
2022.12.08,06:45,1.05009,1.05032,1.04983,1.05011,501
2022.12.08,07:00,1.05010,1.05016,1.04964,1.04980,670
2022.12.08,07:15,1.04979,1.04983,1.04940,1.04968,649
2022.12.08,07:30,1.04969,1.05022,1.04969,1.04981,663
2022.12.08,07:45,1.04980,1.05059,1.04973,1.05035,682
2022.12.08,08:00,1.05036,1.05101,1.05025,1.05094,551
2022.12.08,08:15,1.05092,1.05110,1.05068,1.05093,542
2022.12.08,08:30,1.05092,1.05179,1.05086,1.05157,796
2022.12.08,08:45,1.05159,1.05187,1.05122,1.05135,680
2022.12.08,09:00,1.05131,1.05176,1.05095,1.05114,1088
